epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2698.69,0.7023,0.65413,1.25345,0.99311,1,0.995,0.79723,0.72664,0.46238,1.30081,0.0004688,0.0004688,0.0004688
118,2739.69,0.8563,0.72112,1.38113,0.992,1,0.995,0.79495,0.73297,0.47099,1.31229,0.0004556,0.0004556,0.0004556
119,2780.17,0.75602,0.71765,1.34329,0.99305,1,0.995,0.77519,0.76311,0.48444,1.35197,0.0004424,0.0004424,0.0004424
120,2821.41,0.78524,0.70489,1.31818,0.99365,1,0.995,0.78672,0.76403,0.48531,1.34416,0.0004292,0.0004292,0.0004292
121,2863.56,0.80859,0.74201,1.3674,0.99397,1,0.995,0.79559,0.72796,0.46532,1.29636,0.000416,0.000416,0.000416
122,3410.7,0.79804,0.68094,1.31494,0.99451,1,0.995,0.78882,0.73089,0.44916,1.28719,0.0004028,0.0004028,0.0004028
123,3427.54,0.71389,0.69873,1.34533,0.99427,1,0.995,0.79943,0.72796,0.43727,1.2731,0.0003896,0.0003896,0.0003896
124,3444.24,0.76658,0.72449,1.28146,0.99491,1,0.995,0.78814,0.77631,0.43747,1.32041,0.0003764,0.0003764,0.0003764
125,3461.47,0.8456,0.7688,1.36377,0.99411,1,0.995,0.78203,0.77787,0.43479,1.33189,0.0003632,0.0003632,0.0003632
126,3478.84,0.74878,0.68955,1.3322,0.99357,1,0.995,0.77793,0.77887,0.43724,1.34619,0.00035,0.00035,0.00035
127,3495.61,0.71628,0.66412,1.28616,0.99389,1,0.995,0.74683,0.84214,0.45282,1.4301,0.0003368,0.0003368,0.0003368
128,3511.67,0.74248,0.69921,1.29644,0.9936,1,0.995,0.74639,0.87158,0.45777,1.47097,0.0003236,0.0003236,0.0003236
129,3527.72,0.74373,0.69131,1.33071,0.99395,1,0.995,0.76318,0.88059,0.462,1.47908,0.0003104,0.0003104,0.0003104
130,3543.87,0.72816,0.61434,1.30691,0.99388,1,0.995,0.76195,0.85339,0.45714,1.44783,0.0002972,0.0002972,0.0002972
131,3559.73,0.73004,0.64385,1.30647,0.99452,1,0.995,0.76622,0.81609,0.44397,1.41147,0.000284,0.000284,0.000284
132,3575.28,0.76668,0.75338,1.30541,0.99504,1,0.995,0.79519,0.7432,0.42605,1.33643,0.0002708,0.0002708,0.0002708
133,3591.31,0.76413,0.64902,1.37494,0.9951,1,0.995,0.79078,0.72725,0.4161,1.32138,0.0002576,0.0002576,0.0002576
134,3606.78,0.69015,0.66053,1.27346,0.99492,1,0.995,0.79727,0.72386,0.41007,1.31607,0.0002444,0.0002444,0.0002444
135,3622.41,0.68197,0.63291,1.23282,0.99464,1,0.995,0.80072,0.74028,0.41913,1.33267,0.0002312,0.0002312,0.0002312
136,3638.53,0.75928,0.66653,1.29661,0.99456,1,0.995,0.81204,0.74098,0.42571,1.33726,0.000218,0.000218,0.000218
137,3654,0.77487,0.64924,1.2852,0.99293,1,0.995,0.81363,0.75249,0.43168,1.3515,0.0002048,0.0002048,0.0002048
138,3669.74,0.72501,0.6329,1.32011,0.99356,1,0.995,0.81177,0.76195,0.42612,1.35758,0.0001916,0.0001916,0.0001916
139,3685.46,0.75413,0.74773,1.2477,0.99321,1,0.995,0.80299,0.76815,0.42553,1.36692,0.0001784,0.0001784,0.0001784
140,3701.14,0.72353,0.66428,1.31767,0.99304,1,0.995,0.80557,0.78931,0.42918,1.39496,0.0001652,0.0001652,0.0001652
141,3718.6,0.52438,1.09388,1.18087,0.99274,1,0.995,0.80531,0.77894,0.4278,1.38166,0.000152,0.000152,0.000152
142,3734.02,0.55393,0.83244,1.24902,0.99274,1,0.995,0.82011,0.76856,0.4261,1.36895,0.0001388,0.0001388,0.0001388
143,3749.29,0.50969,0.83489,1.24122,0.99314,1,0.995,0.81225,0.77431,0.43075,1.37602,0.0001256,0.0001256,0.0001256
144,3764.53,0.52228,0.68716,1.26383,0.99375,1,0.995,0.79619,0.78327,0.43425,1.38487,0.0001124,0.0001124,0.0001124
145,3780.46,0.51073,0.77799,1.15861,0.99395,1,0.995,0.80152,0.78369,0.44883,1.38975,9.92e-05,9.92e-05,9.92e-05
146,3795.77,0.48929,0.86734,1.21771,0.99377,1,0.995,0.79875,0.76993,0.44731,1.37688,8.6e-05,8.6e-05,8.6e-05
147,3811.05,0.6599,0.93013,1.33949,0.99427,1,0.995,0.7987,0.75884,0.44292,1.36832,7.28e-05,7.28e-05,7.28e-05
148,3826.42,0.60174,0.62016,1.36837,0.99429,1,0.995,0.79353,0.73913,0.44681,1.35175,5.96e-05,5.96e-05,5.96e-05
149,3841.83,0.60914,0.61493,1.29342,0.99401,1,0.995,0.79349,0.73317,0.44021,1.34619,4.64e-05,4.64e-05,4.64e-05
150,3857.08,0.48882,0.59031,1.21468,0.99378,1,0.995,0.7962,0.72956,0.43617,1.34264,3.32e-05,3.32e-05,3.32e-05
